Bergamasco,Italiano,Bergamasco_pulito,Italiano_pulito
che éra hò s-cèc,perché erano sempre figli suoi,<sos> che éra hò s-cèc <eos>,<sos> perché erano sempre figli suoi <eos>
a hém,a galla,<sos> a hém <eos>,<sos> a galla <eos>
e óter,e altro,<sos> e óter <eos>,<sos> e altro <eos>
— pòtå mé — 'l dìs — ó ciapàt chèst...,— io ho trovato questa...,<sos> pòtå mé 'l dìs ó ciapàt chèst . . . <eos>,<sos> io ho trovato questa . . . <eos>
pórtå pasénsiå 'à là,porta pazienza!,<sos> pórtå pasénsiå 'à là <eos>,<sos> porta pazienza ! <eos>
ediré ol padrù chèl che 'l me darà,vedrai cosa ci darà il padrone,<sos> ediré ol padrù chèl che 'l me darà <eos>,<sos> vedrai cosa ci darà il padrone <eos>
arda — 'l dìs — che śó hóta 'n giöna gròta,— guarda che giù in una grotta,<sos> arda 'l dìs che śó hóta 'n giöna gròta <eos>,<sos> guarda che giù in una grotta <eos>
perchè gh'è tanti poveri,perché ce ne sono tanti,<sos> perchè gh'è tanti poveri <eos>,<sos> perché ce ne sono tanti <eos>
stangurna,continua a picchiare,<sos> stangurna <eos>,<sos> continua a picchiare <eos>
l'è 'ndàt fò,è andato,<sos> l'è 'ndàt fò <eos>,<sos> è andato <eos>
ma lé la la cunuhìa miga,lei non l'aveva mai vista,<sos> ma lé la la cunuhìa miga <eos>,<sos> lei non l'aveva mai vista <eos>
l'érå pà a' strüśa,sporca,<sos> l'érå pà a' strüśa <eos>,<sos> sporca <eos>
'l vuśa,e grida,<sos> 'l vuśa <eos>,<sos> e grida <eos>
"l'endà-a 'nnàc ö tochèl, 'l ne turnà-a 'ndré trì","andava avanti un po', tornava indietro il triplo","<sos> l'endà-a 'nnàc ö tochèl , 'l ne turnà-a 'ndré trì <eos>","<sos> andava avanti un po' , tornava indietro il triplo <eos>"
ål gi à fàt enségn al Giuanì de 'ndàgå 'n sö,ha fatto segno a Giovannino di andare,<sos> ål gi à fàt enségn al giuanì de 'ndàgå 'n sö <eos>,<sos> ha fatto segno a giovannino di andare <eos>
ål gh'éra déter nigü,non c'era nessuno,<sos> ål gh'éra déter nigü <eos>,<sos> non c'era nessuno <eos>
prìmå,prima,<sos> prìmå <eos>,<sos> prima <eos>
l'è pasàt,è passata oltre,<sos> l'è pasàt <eos>,<sos> è passata oltre <eos>
e la gh'è 'nada 'n téra,gli è caduta in terra /  /  /  /  /  /  /  / ,<sos> e la gh'è 'nada 'n téra <eos>,<sos> gli è caduta in terra <eos>
"— nò nò nò, mangiómei mìa perchè 'm mör! —","— no, non mangiamoli, altrimenti moriamo! —","<sos> nò nò nò , mangiómei mìa perchè 'm mör ! <eos>","<sos> no , non mangiamoli , altrimenti moriamo ! <eos>"
gliò 'l gh'à fàt vède tüta la sò cà,le ha fatto visitare tutta la casa,<sos> gliò 'l gh'à fàt vède tüta la sò cà <eos>,<sos> le ha fatto visitare tutta la casa <eos>
pòtå 'l vé hérà,si fa sera,<sos> pòtå 'l vé hérà <eos>,<sos> si fa sera <eos>
quàndo l'è 'l momént ch'i è dré a mangià,quando stanno mangiando,<sos> quàndo l'è 'l momént ch'i è dré a mangià <eos>,<sos> quando stanno mangiando <eos>
perchè che 'm gh'à rubàt anche ala céśå,perché abbiamo rubato anche alla chiesa,<sos> perchè che 'm gh'à rubàt anche ala céśå <eos>,<sos> perché abbiamo rubato anche alla chiesa <eos>
'l dé che 'l düśìa rià,doveva arrivare,<sos> 'l dé che 'l düśìa rià <eos>,<sos> doveva arrivare <eos>
tàrnà 'ndré!,torna indietro!,<sos> tàrnà 'ndré ! <eos>,<sos> torna indietro ! <eos>
pàså sö dré a ü mùt,sale lungo un monte,<sos> pàså sö dré a ü mùt <eos>,<sos> sale lungo un monte <eos>
e de laurà 'm punì piö tànt,e di lavorare un pochino di più,<sos> e de laurà 'm punì piö tànt <eos>,<sos> e di lavorare un pochino di più <eos>
alura i à 'mpihàt ö holfanèl,allora hanno acceso un fiammifero,<sos> alura i à 'mpihàt ö holfanèl <eos>,<sos> allora hanno acceso un fiammifero <eos>
arda che mé òi che te ma diśet chèl che te gh'é —,voglio che tu me lo dica —,<sos> arda che mé òi che te ma diśet chèl che te gh'é <eos>,<sos> voglio che tu me lo dica <eos>
— ah gliùrå bé,— ma sì,<sos> ah gliùrå bé <eos>,<sos> ma sì <eos>
e quàndo che i à heràt fò la céśa gli à ìst nügü,quando han chiuso la chiesa non hanno visto nessuno,<sos> e quàndo che i à heràt fò la céśa gli à ìst nügü <eos>,<sos> quando han chiuso la chiesa non hanno visto nessuno <eos>
però,però,<sos> però <eos>,<sos> però <eos>
adès mé,adesso io,<sos> adès mé <eos>,<sos> adesso io <eos>
e l'è furada śgió,è sprofondata,<sos> e l'è furada śgió <eos>,<sos> è sprofondata <eos>
"la hegütà-å, la j diśéå:",continuava a dirgli:,"<sos> la hegütà-å , la j diśéå <eos>",<sos> continuava a dirgli <eos>
perchè 'l vuléå pò ède,perché voleva vedere,<sos> perchè 'l vuléå pò ède <eos>,<sos> perché voleva vedere <eos>
cóma l'éå fàt e di-entà s-ciòr,come aveva fatto a diventare ricco,<sos> cóma l'éå fàt e di-entà s-ciòr <eos>,<sos> come aveva fatto a diventare ricco <eos>
a sérå,la sera,<sos> a sérå <eos>,<sos> la sera <eos>
e pòtå i à dìt: — fà chè? —,si sono detti: — cosa facciamo? —,<sos> e pòtå i à dìt fà chè ? <eos>,<sos> si sono detti cosa facciamo ? <eos>
l'è 'ndada a dórme,è andata a dormire,<sos> l'è 'ndada a dórme <eos>,<sos> è andata a dormire <eos>
'ncö dehmetì piö —,non lo smetterete più,<sos> 'ncö dehmetì piö <eos>,<sos> non lo smetterete più <eos>
esparì la moér,allontanare la moglie,<sos> esparì la moér <eos>,<sos> allontanare la moglie <eos>
anche mé ói faga 'm pìl de regalì,anch'io voglio farle un regalino,<sos> anche mé ói faga 'm pìl de regalì <eos>,<sos> anch'io voglio farle un regalino <eos>
pacìfich e tranquì-i,pacifici e tranquilli,<sos> pacìfich e tranquì-i <eos>,<sos> pacifici e tranquilli <eos>
i à bi-ìt,e bevuto,<sos> i à bi-ìt <eos>,<sos> e bevuto <eos>
"'l pàså mài nigü, mài nigü, mài nigü",non passa proprio mai nessuno,"<sos> 'l pàså mài nigü , mài nigü , mài nigü <eos>",<sos> non passa proprio mai nessuno <eos>
te cuncéde,ti concedo,<sos> te cuncéde <eos>,<sos> ti concedo <eos>
'n mòdo che l'órco,cosicché l'orco,<sos> 'n mòdo che l'órco <eos>,<sos> cosicché l'orco <eos>
al völìa haì anche 'ndo éra 'nàc a finì,voleva sapere dov'erano finiti,<sos> al völìa haì anche 'ndo éra 'nàc a finì <eos>,<sos> voleva sapere dov'erano finiti <eos>
gh'è ü palàs,dove c'è un palazzo,<sos> gh'è ü palàs <eos>,<sos> dove c'è un palazzo <eos>
e 'ntàt lü,intanto,<sos> e 'ntàt lü <eos>,<sos> intanto <eos>
— 'l ga dìh al famèi —,— dice al famiglio —,<sos> 'l ga dìh al famèi <eos>,<sos> dice al famiglio <eos>
— gh'él di malàc en de 'sta cà?,— ci sono malati in questa casa?,<sos> gh'él di malàc en de 'sta cà ? <eos>,<sos> ci sono malati in questa casa ? <eos>
pödei?,posso?,<sos> pödei ? <eos>,<sos> posso ? <eos>
e pò la 'é sö 'stà ànimå cunfinàdå e la cumìncìå:,poi esce» l'anima confinata e comincia:,<sos> e pò la 'é sö 'stà ànimå cunfinàdå e la cumìncìå <eos>,<sos> poi esce l'anima confinata e comincia <eos>
tante de chi bòte,tante di quelle botte,<sos> tante de chi bòte <eos>,<sos> tante di quelle botte <eos>
'l và śó,scende,<sos> 'l và śó <eos>,<sos> scende <eos>
la bàt,bussa,<sos> la bàt <eos>,<sos> bussa <eos>
bisógnå che darvihe,devo aprire,<sos> bisógnå che darvihe <eos>,<sos> devo aprire <eos>
te haré s-ciór,diventerai ricco,<sos> te haré s-ciór <eos>,<sos> diventerai ricco <eos>
al gh'éra hö la berèta höl có,aveva la berretta sulla testa,<sos> al gh'éra hö la berèta höl có <eos>,<sos> aveva la berretta sulla testa <eos>
pöde mìå mé fàt 'gnì de déter,— io non posso farti entrare,<sos> pöde mìå mé fàt 'gnì de déter <eos>,<sos> io non posso farti entrare <eos>
poarèt a' mé!,povero me!,<sos> poarèt a' mé ! <eos>,<sos> povero me ! <eos>
la hò fómna l'è lé che 'l la hpèta,la sua donna lo sta aspettando,<sos> la hò fómna l'è lé che 'l la hpèta <eos>,<sos> la sua donna lo sta aspettando <eos>
— hé èh,— sì,<sos> hé èh <eos>,<sos> sì <eos>
"quando la 'é la matìnå, la fà:",al mattino la strega dice:,"<sos> quando la 'é la matìnå , la fà <eos>",<sos> al mattino la strega dice <eos>
i me n'à 'nvidàt piö gna' ü bucù,non me ne hanno offerto neppure un boccone,<sos> i me n'à 'nvidàt piö gna' ü bucù <eos>,<sos> non me ne hanno offerto neppure un boccone <eos>
ai à metìt sö 'sto egiahì,ci hanno messo sopra il vecchietto,<sos> ai à metìt sö 'sto egiahì <eos>,<sos> ci hanno messo sopra il vecchietto <eos>
e gliùra la gh'à dìc:,allora gli ha chiesto:,<sos> e gliùra la gh'à dìc <eos>,<sos> allora gli ha chiesto <eos>
te 'ndé jó e tölå,vai a prenderla,<sos> te 'ndé jó e tölå <eos>,<sos> vai a prenderla <eos>
per tira fò,per tirare fuori,<sos> per tira fò <eos>,<sos> per tirare fuori <eos>
l'à fàt el medéśim fàt,ha fatto la stessa cosa,<sos> l'à fàt el medéśim fàt <eos>,<sos> ha fatto la stessa cosa <eos>
che i lüciå jó 'n de 'stå ca-àgnå,che nella cesta qualcuno piange,<sos> che i lüciå jó 'n de 'stå ca-àgnå <eos>,<sos> che nella cesta qualcuno piange <eos>
— ma mé — 'l dìs — turne mìå 'ndré,— io non torno indietro,<sos> ma mé 'l dìs turne mìå 'ndré <eos>,<sos> io non torno indietro <eos>
la gh'à dìt essè:,che le dice:,<sos> la gh'à dìt essè <eos>,<sos> che le dice <eos>
e i fà: — perchè nóter — ål dìs —,e rispondono: — perché,<sos> e i fà perchè nóter ål dìs <eos>,<sos> e rispondono perché <eos>
gh'è amò ün eremìtå,c'era ancora un eremita,<sos> gh'è amò ün eremìtå <eos>,<sos> c'era ancora un eremita <eos>
che troverài fortuna! —,eh troverai fortuna! —,<sos> che troverài fortuna ! <eos>,<sos> eh troverai fortuna ! <eos>
dunque mé,dunque io,<sos> dunque mé <eos>,<sos> dunque io <eos>
"— a 'ndó, a 'ndó","— vado, vado","<sos> a 'ndó , a 'ndó <eos>","<sos> vado , vado <eos>"
l'érà 'nvidàt a mangià,era invitato a mangiare,<sos> l'érà 'nvidàt a mangià <eos>,<sos> era invitato a mangiare <eos>
perchè chile lantèrne è 'gnide amò söla capànnå,la terza notte quelle lanterne sono venute ancora sulla capanna,<sos> perchè chile lantèrne è 'gnide amò söla capànnå <eos>,<sos> la terza notte quelle lanterne sono venute ancora sulla capanna <eos>
'l Paulì l'è gliò śnüchiàt gió,Paolino è lì inginocchiato,<sos> 'l paulì l'è gliò śnüchiàt gió <eos>,<sos> paolino è lì inginocchiato <eos>
e — 'l dìh — arèh decidìt,e avrei deciso,<sos> e 'l dìh arèh decidìt <eos>,<sos> e avrei deciso <eos>
— póer egiahì,— povero vecchietto,<sos> póer egiahì <eos>,<sos> povero vecchietto <eos>
— ah nóter em na làgå 'ndà — l'à dìt — perchè,"— ah, noi la lasciamo andare perché",<sos> ah nóter em na làgå 'ndà l'à dìt perchè <eos>,"<sos> ah , noi la lasciamo andare perché <eos>"
isé i à fàt,così hanno fatto,<sos> isé i à fàt <eos>,<sos> così hanno fatto <eos>
a hì sciòr pò a' óter,diventerete ricchi anche voi,<sos> a hì sciòr pò a' óter <eos>,<sos> diventerete ricchi anche voi <eos>
i à ìst en mèh el pràt,hanno visto in mezzo al prato,<sos> i à ìst en mèh el pràt <eos>,<sos> hanno visto in mezzo al prato <eos>
lùr la sérå i 'à sö,loro di sera ci sono andati,<sos> lùr la sérå i 'à sö <eos>,<sos> loro di sera ci sono andati <eos>
àidem!,aiutami!,<sos> àidem ! <eos>,<sos> aiutami ! <eos>
'maginàs che fèste!,immaginatevi che feste!,<sos> 'maginàs che fèste ! <eos>,<sos> immaginatevi che feste ! <eos>
— turne mìa 'ndré,— non torno indietro,<sos> turne mìa 'ndré <eos>,<sos> non torno indietro <eos>
he nò mé te tigne hémper sàlt,altrimenti ti tengo sempre,<sos> he nò mé te tigne hémper sàlt <eos>,<sos> altrimenti ti tengo sempre <eos>
diga 'zzé ca la sa pèste sö a tochelì!,dille che si tagli a pezzettini!,<sos> diga 'zzé ca la sa pèste sö a tochelì ! <eos>,<sos> dille che si tagli a pezzettini ! <eos>
è dré amò che i sénå,stanno ancora cenando,<sos> è dré amò che i sénå <eos>,<sos> stanno ancora cenando <eos>
hét endàt endoè tè,— dove sei andato,<sos> hét endàt endoè tè <eos>,<sos> dove sei andato <eos>
'ndàdå là a' lé,si è avviata anche lei,<sos> 'ndàdå là a' lé <eos>,<sos> si è avviata anche lei <eos>
cume te saré cuntét!,come sarai contento,<sos> cume te saré cuntét ! <eos>,<sos> come sarai contento <eos>
— pòta i éra pròpe lùr!,erano proprio loro!,<sos> pòta i éra pròpe lùr ! <eos>,<sos> erano proprio loro ! <eos>
e gliùra la 'à sö a diga: — l' gh'è śgió öna tuśa ca la insiste,allora quella va a dire: — c'è una ragazza che insiste,<sos> e gliùra la 'à sö a diga l' gh'è śgió öna tuśa ca la insiste <eos>,<sos> allora quella va a dire c'è una ragazza che insiste <eos>
'l paìs,il paese,<sos> 'l paìs <eos>,<sos> il paese <eos>
e hó 'nsapàt en vergót!,ma ora mi sono inciampato in qualcosa!,<sos> e hó 'nsapàt en vergót ! <eos>,<sos> ma ora mi sono inciampato in qualcosa ! <eos>
perchè se 'l se spùśå 'l prìncipe,perché si sposa il principe,<sos> perchè se 'l se spùśå 'l prìncipe <eos>,<sos> perché si sposa il principe <eos>
de dét de lü:,diceva tra sé,<sos> de dét de lü <eos>,<sos> diceva tra sé <eos>
"l'è restàt pròpe ni-ént ni-ént, piö neanche la cènere","non c'era proprio più niente, neanche la cenere","<sos> l'è restàt pròpe ni-ént ni-ént , piö neanche la cènere <eos>","<sos> non c'era proprio più niente , neanche la cenere <eos>"
e la gh'à dìt:,e ha detto:,<sos> e la gh'à dìt <eos>,<sos> e ha detto <eos>
l'à brüśàt töt ol formét! —,ha bruciato tutto il frumento! —,<sos> l'à brüśàt töt ol formét ! <eos>,<sos> ha bruciato tutto il frumento ! <eos>
'sto Giacumì 'l và e cà tüt contét,Giacomino va a casa tutto contento,<sos> 'sto giacumì 'l và e cà tüt contét <eos>,<sos> giacomino va a casa tutto contento <eos>
"gnè' 'ncö, gnè' dumà",né oggi né domani,"<sos> gnè' 'ncö , gnè' dumà <eos>",<sos> né oggi né domani <eos>
è stàc ogliò 'm pó,dopo un po',<sos> è stàc ogliò 'm pó <eos>,<sos> dopo un po' <eos>
e l'à scri-ìt déter:,e ha corretto:,<sos> e l'à scri-ìt déter <eos>,<sos> e ha corretto <eos>
ål ghe l'dis ala sò spùśå,lo dice alla sua sposa,<sos> ål ghe l'dis ala sò spùśå <eos>,<sos> lo dice alla sua sposa <eos>
'stå spùśå gliò,la sposa,<sos> 'stå spùśå gliò <eos>,<sos> la sposa <eos>
ma chi lo sa il perchè?,ma chi lo sa il perché?,<sos> ma chi lo sa il perchè ? <eos>,<sos> ma chi lo sa il perché ? <eos>
e 'm sa scalda,ci scaldiamo,<sos> e 'm sa scalda <eos>,<sos> ci scaldiamo <eos>
l'à śbojàt déter la pórtå,ha rotto la porta,<sos> l'à śbojàt déter la pórtå <eos>,<sos> ha rotto la porta <eos>
fìnå ali spale,fino alle spalle,<sos> fìnå ali spale <eos>,<sos> fino alle spalle <eos>
l'è turnàt ondré,è tornato indietro,<sos> l'è turnàt ondré <eos>,<sos> è tornato indietro <eos>
dunque gh'érå śgió,c'erano,<sos> dunque gh'érå śgió <eos>,<sos> c'erano <eos>
mé ghe rìe piö e stàgå hö!,non ce la faccio più a stare qui!,<sos> mé ghe rìe piö e stàgå hö ! <eos>,<sos> non ce la faccio più a stare qui ! <eos>
on d'ünå cèstå de vìmini 'ssè e 'ssè,in una cesta di vimini così e cosà,<sos> on d'ünå cèstå de vìmini 'ssè e 'ssè <eos>,<sos> in una cesta di vimini così e cosà <eos>
e la pórtå la h'è heràdå,poi la porta si è chiusa,<sos> e la pórtå la h'è heràdå <eos>,<sos> poi la porta si è chiusa <eos>
istìt de négher,vestito di nero,<sos> istìt de négher <eos>,<sos> vestito di nero <eos>
àrdå — la dìs —,sö 'n chèl castèl ogliò,<sos> àrdå la dìs <eos>,<sos> sö 'n chèl castèl ogliò <eos>
"e 'l gi à dìt: — pèrdelå mìå, tìgnelå bé perchè l'è","dicendo: — non perderla, tienila ben da conto, perché è","<sos> e 'l gi à dìt pèrdelå mìå , tìgnelå bé perchè l'è <eos>","<sos> dicendo non perderla , tienila ben da conto , perché è <eos>"
l'è pasàdå là 'ssè,per questa volta è passata così,<sos> l'è pasàdå là 'ssè <eos>,<sos> per questa volta è passata così <eos>
adèh am vurà pò fà chè?,adesso cosa faremo?,<sos> adèh am vurà pò fà chè ? <eos>,<sos> adesso cosa faremo ? <eos>
al vé hö amò töt ol vòs' formét?,crescesse ancora il vostro frumento?,<sos> al vé hö amò töt ol vòs' formét ? <eos>,<sos> crescesse ancora il vostro frumento ? <eos>
ma non la godrài,ma non la godrai,<sos> ma non la godrài <eos>,<sos> ma non la godrai <eos>
te dó tàc de chi sólc,ti dò tanti soldi,<sos> te dó tàc de chi sólc <eos>,<sos> ti dò tanti soldi <eos>
pò che 'l vé hèmper hö i temporài,qui scoppiano sempre dei temporali,<sos> pò che 'l vé hèmper hö i temporài <eos>,<sos> qui scoppiano sempre dei temporali <eos>
e i à dìt: — adès,e hanno detto alla volpe: — adesso,<sos> e i à dìt adès <eos>,<sos> e hanno detto alla volpe adesso <eos>
'nvéce dòpo la gh'à portàt lé de mangià,invece la sorella gli ha portato la cena,<sos> 'nvéce dòpo la gh'à portàt lé de mangià <eos>,<sos> invece la sorella gli ha portato la cena <eos>
"gna' rèf, gna' góśgia, gna' ni-ént","né refe, né ago, proprio niente","<sos> gna' rèf , gna' góśgia , gna' ni-ént <eos>","<sos> né refe , né ago , proprio niente <eos>"
al ma pica fò höl có!,mi picchia sulla testa!,<sos> al ma pica fò höl có ! <eos>,<sos> mi picchia sulla testa ! <eos>
fradèl e surèlå,fratello e sorella,<sos> fradèl e surèlå <eos>,<sos> fratello e sorella <eos>
l'éra 'm pó guardinga,era un po' guardinga,<sos> l'éra 'm pó guardinga <eos>,<sos> era un po' guardinga <eos>
hó famàt,sono affamato,<sos> hó famàt <eos>,<sos> sono affamato <eos>
— ma ét pò fàt chè?,— ma cosa hai fatto?,<sos> ma ét pò fàt chè ? <eos>,<sos> ma cosa hai fatto ? <eos>
l'è mìå stàdå e tép de ciapàl e tràl endré,non ha fatto in tempo a prenderlo e tirarlo indietro,<sos> l'è mìå stàdå e tép de ciapàl e tràl endré <eos>,<sos> non ha fatto in tempo a prenderlo e tirarlo indietro <eos>
ai pu-arèc od la cità,ai poveri della città,<sos> ai pu-arèc od la cità <eos>,<sos> ai poveri della città <eos>
e 'l gh'à bütàt in àriå,ha buttato per aria,<sos> e 'l gh'à bütàt in àriå <eos>,<sos> ha buttato per aria <eos>
e 'l dìh essè: « haràl pò hà chi? » le pòtå gliùrå,e si dice: « chi arriverà? »,<sos> e 'l dìh essè haràl pò hà chi ? le pòtå gliùrå <eos>,<sos> e si dice chi arriverà ? <eos>
la gh'à piö neànche scri-ìt,non gli aveva nemmeno più scritto,<sos> la gh'à piö neànche scri-ìt <eos>,<sos> non gli aveva nemmeno più scritto <eos>
